Name,奶茶,香蕉,披薩,血,芋頭,鳳梨,香菜,木耳,珍珠,醋飯,生魚片,豆腐,史萊姆,醬油,可樂,泡菜,麵,起司,拉麵,火鍋,米,豬血糕,麵包,咖哩,番茄,壽司,可頌,奶蓋,酒,紅酒,紅肉,烤肉,啤酒,麻辣鴨血,麻辣九宮格鍋,咖啡,臭豆腐,奶油,港式波蘿,絲襪奶茶,小熊維尼,果凍,布丁,雞腿,蛋,GGJ,憤怒的義大利人,珍珠奶茶,珍珠奶茶披薩,香菜披薩,工程師,鳳梨罐頭,豬血糕披薩,印度烤餅,佛跳牆,很多料的那種仙草,相撲選手,熊貓,初代米奇,兩杯奶茶,交流交流,台灣黑熊,蚵仔麵線,酸菜魚,烏龍麵,焗烤麵,壽喜燒,泡菜鍋,炒麵麵包,咖哩飯,義大利麵,清酒,印度拉茶
奶茶,兩杯奶茶,,,,,,,,珍珠奶茶,,,,,,,,,,,很多料的那種仙草,,,,,,,,,,,,,,,,絲襪奶茶,,,,,,,布丁奶茶,,,,,,,,,,,印度拉茶,,,,,,,,,,,,,,,,,,,
香蕉,,交流交流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
披薩,,,GGJ,,,憤怒的義大利人,香菜披薩,,珍珠奶茶披薩,,,,,,工程師,,,,,,,豬血糕披薩,,印度烤餅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
血,,,,,,,,,,,,火鍋,,,,,,,,麻辣鴨血,豬血糕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
芋頭,,,,,,,,,,,,,,,,,,,,佛跳牆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳳梨,,,憤怒的義大利人,,,鳳梨罐頭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
香菜,,,香菜披薩,,,,,,,,,,,,,,蚵仔麵線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
木耳,,,,,,,,,,,,,,,,,拉麵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
珍珠,珍珠奶茶,,珍珠奶茶披薩,,,,,,史萊姆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
醋飯,,,,,,,,,,,壽司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生魚片,,,,,,,,,,壽司,,,,,,酸菜魚,,,,麻辣九宮格鍋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
豆腐,,,,火鍋,,,,,,,,,,,,,,,,麻辣九宮格鍋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史萊姆,,,,,,,,,,,,,果凍,,,,,,,,相撲選手,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
醬油,,,,,,,,,,,,,,,,,烏龍麵,,,壽喜燒,,,,,,,,,清酒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可樂,,,工程師,,,,,,,,,,,,工程師,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泡菜,,,,,,,,,,,酸菜魚,,,,,,,,,泡菜鍋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麵,,,,,,,蚵仔麵線,拉麵,,,,,,烏龍麵,,,,焗烤麵,,,,,炒麵麵包,,義大利麵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
起司,,,,,,,,,,,,,,,,,焗烤麵,,,,,,,,,,,,紅酒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拉麵,,,,,,,,,,,,,,,,,,,相撲選手,,,,,,,,,,,,,,,,,,,,,,,布丁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火鍋,很多料的那種仙草,,,麻辣鴨血,佛跳牆,,,,,,麻辣九宮格鍋,麻辣九宮格鍋,,壽喜燒,,泡菜鍋,,,,,,,,,,,,,,,,,,麻辣九宮格鍋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
米,,,,豬血糕,,,,,,,,,相撲選手,,,,,,,,,,,咖哩飯,,,,,,,滷肉飯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
豬血糕,,,豬血糕披薩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麵包,,,,,,,,,,,,,,,,,炒麵麵包,,,,,,,,披薩,,,,,,,,,,,,台灣黑熊,港式波蘿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咖哩,,,印度烤餅,,,,,,,,,,,,,,,,,,咖哩飯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
