品項／品項,英文翻譯,
酒,alcohol,
憤怒的義大利人,angry italian,v
焗烤麵,baked noodles,
香蕉,bananas,v
烤肉,barbecue,v
啤酒,beer,v
血,blood,v
麵包,bread,v
奶油,butter,v
起司,cheese,v
雞腿,chicken legs,v
香菜,cilantro,v
香菜披薩,cilantro pizza,v
咖啡,coffee,v
可樂,coke,v
可頌,croissant,v
咖哩,curry,v
咖哩飯,curry rice,v
蛋,eggs,v
工程師,engineer,v
木耳,fungus,v
GGJ,ggj,v
火鍋,hotpot,v
印度烤餅,indian cakes,v
印度拉茶,indian tea,v
果凍,jelly,v
泡菜,kimchi,v
泡菜鍋,kimichi pot,
初代米奇,mickey,v
奶蓋,milk cap,v
奶茶,milk tea,v
炒麵麵包,noodle bread,
麵,noodles,v
蚵仔麵線,oyster noodles,
熊貓,pandas,
義大利麵,pasta,
珍珠奶茶,pearl milk tea,v
珍珠奶茶披薩,pearl milk tea pizza,v
珍珠,pearls,v
豬血糕,pig blood pastry,v
豬血糕披薩,pig blood pastry pizza,
鳳梨,pineapple,v
披薩,pizza,v
港式波蘿,polo,v
布丁,pudding,v
拉麵,ramen,v
紅肉,red meat,v
紅酒,red wine,v
米,rice,v
清酒,sake,
生魚片,sashimi,v
酸菜魚,sauerkraut fish,
史萊姆,slime,v
醬油,soy sauce,v
麻辣九宮格鍋,spicy hotpot,v
臭豆腐,stinky tofu,v
絲襪奶茶,stockings milk tea,v
壽喜燒,sukiyaki,
相撲選手,sumo wrestling,
壽司,sushi,v
台灣黑熊,taiwanese black bear,v
芋頭,taro,v
豆腐,tofu,v
番茄,tomatoes,v
烏龍麵,udon noodles,
醋飯,vinegar rice,v
小熊維尼,winnie,v
